date,season,game_id,name,home_club_name,away_club_name,own_position,round,own_goals,opponent_goals,is_win,is_draw,is_lose,own_manager_name,hosting
2020-03-07,2019,3216256,eredivisie,SC Heerenveen,Ajax Amsterdam,1,26. Matchday,3,1,1,0,0,Erik ten Hag,Away
2020-09-13,2020,3402195,eredivisie,Sparta Rotterdam,Ajax Amsterdam,7,1. Matchday,1,0,1,0,0,Erik ten Hag,Away
2020-09-20,2020,3450553,eredivisie,Ajax Amsterdam,RKC Waalwijk,2,2. Matchday,3,0,1,0,0,Erik ten Hag,Home
2020-09-26,2020,3450575,eredivisie,Ajax Amsterdam,Vitesse Arnhem,1,3. Matchday,2,1,1,0,0,Erik ten Hag,Home
2020-10-04,2020,3450591,eredivisie,FC Groningen,Ajax Amsterdam,5,4. Matchday,0,1,0,0,1,Erik ten Hag,Away
2020-10-18,2020,3450524,eredivisie,Ajax Amsterdam,SC Heerenveen,2,5. Matchday,5,1,1,0,0,Erik ten Hag,Home
2020-10-21,2020,3461716,uefa-champions-league,Ajax Amsterdam,Liverpool FC,-1,Group D,0,1,0,0,1,Erik ten Hag,Home
2020-10-24,2020,3450515,eredivisie,VVV-Venlo,Ajax Amsterdam,1,6. Matchday,13,0,1,0,0,Erik ten Hag,Away
2020-10-27,2020,3461740,uefa-champions-league,Atalanta BC,Ajax Amsterdam,-1,Group D,2,2,0,1,0,Erik ten Hag,Away
2020-10-31,2020,3450530,eredivisie,Ajax Amsterdam,Fortuna Sittard,1,7. Matchday,5,2,1,0,0,Erik ten Hag,Home
2020-11-03,2020,3461755,uefa-champions-league,FC Midtjylland,Ajax Amsterdam,-1,Group D,2,1,1,0,0,Erik ten Hag,Away
2020-11-08,2020,3450597,eredivisie,FC Utrecht,Ajax Amsterdam,1,8. Matchday,3,0,1,0,0,Erik ten Hag,Away
2020-11-22,2020,3450529,eredivisie,Ajax Amsterdam,Heracles Almelo,1,9. Matchday,5,0,1,0,0,Erik ten Hag,Home
2020-11-25,2020,3461772,uefa-champions-league,Ajax Amsterdam,FC Midtjylland,-1,Group D,3,1,1,0,0,Erik ten Hag,Home
2020-11-28,2020,3450543,eredivisie,FC Emmen,Ajax Amsterdam,1,10. Matchday,5,0,1,0,0,Erik ten Hag,Away
2020-12-01,2020,3461782,uefa-champions-league,Liverpool FC,Ajax Amsterdam,-1,Group D,0,1,0,0,1,Erik ten Hag,Away
2020-12-05,2020,3450592,eredivisie,Ajax Amsterdam,Twente Enschede FC,1,11. Matchday,1,2,0,0,1,Erik ten Hag,Home
2020-12-09,2020,3461814,uefa-champions-league,Ajax Amsterdam,Atalanta BC,-1,Group D,0,1,0,0,1,Erik ten Hag,Home
2020-12-12,2020,3450567,eredivisie,Ajax Amsterdam,PEC Zwolle,1,12. Matchday,4,0,1,0,0,Erik ten Hag,Home
2020-12-16,2020,3488577,toto-knvb-beker,Ajax Amsterdam,FC Utrecht,-1,Second Round,5,4,1,0,0,Erik ten Hag,Home
2020-12-20,2020,3450610,eredivisie,ADO Den Haag,Ajax Amsterdam,1,13. Matchday,4,2,1,0,0,Erik ten Hag,Away
2020-12-23,2020,3450538,eredivisie,Willem II Tilburg,Ajax Amsterdam,1,14. Matchday,1,1,0,1,0,Erik ten Hag,Away
2021-01-10,2020,3450589,eredivisie,Ajax Amsterdam,PSV Eindhoven,1,15. Matchday,2,2,0,1,0,Erik ten Hag,Home
2021-01-14,2020,3450624,eredivisie,Twente Enschede FC,Ajax Amsterdam,1,16. Matchday,3,1,1,0,0,Erik ten Hag,Away
2021-01-17,2020,3450704,eredivisie,Ajax Amsterdam,Feyenoord Rotterdam,1,17. Matchday,1,0,1,0,0,Erik ten Hag,Home
2021-01-20,2020,3498000,toto-knvb-beker,AZ Alkmaar,Ajax Amsterdam,-1,Round of 16,1,0,1,0,0,Erik ten Hag,Away
2021-01-24,2020,3450664,eredivisie,Fortuna Sittard,Ajax Amsterdam,1,18. Matchday,2,1,1,0,0,Erik ten Hag,Away
2021-01-28,2020,3450748,eredivisie,Ajax Amsterdam,Willem II Tilburg,1,19. Matchday,3,1,1,0,0,Erik ten Hag,Home
2021-01-31,2020,3450747,eredivisie,AZ Alkmaar,Ajax Amsterdam,1,20. Matchday,3,0,1,0,0,Erik ten Hag,Away
2021-02-10,2020,3509551,toto-knvb-beker,Ajax Amsterdam,PSV Eindhoven,-1,Quarter-Finals,2,1,1,0,0,Erik ten Hag,Home
2021-02-13,2020,3450753,eredivisie,Heracles Almelo,Ajax Amsterdam,1,22. Matchday,2,0,1,0,0,Erik ten Hag,Away
2021-02-18,2020,3496482,europa-league,LOSC Lille,Ajax Amsterdam,-1,intermediate stage 1st leg,2,1,1,0,0,Erik ten Hag,Away
2021-02-21,2020,3450680,eredivisie,Ajax Amsterdam,Sparta Rotterdam,1,23. Matchday,4,2,1,0,0,Erik ten Hag,Home
2021-02-25,2020,3496497,europa-league,Ajax Amsterdam,LOSC Lille,-1,intermediate stage 2nd leg,2,1,1,0,0,Erik ten Hag,Home
2021-02-28,2020,3450788,eredivisie,PSV Eindhoven,Ajax Amsterdam,1,24. Matchday,1,1,0,1,0,Erik ten Hag,Away
2021-03-03,2020,3523357,toto-knvb-beker,SC Heerenveen,Ajax Amsterdam,-1,Semi-Finals,3,0,1,0,0,Erik ten Hag,Away
2021-03-07,2020,3450657,eredivisie,Ajax Amsterdam,FC Groningen,1,25. Matchday,3,1,1,0,0,Erik ten Hag,Home
2021-03-11,2020,3528467,europa-league,Ajax Amsterdam,,-1,last 16 1st leg,3,0,1,0,0,Erik ten Hag,Home
2021-03-14,2020,3450706,eredivisie,PEC Zwolle,Ajax Amsterdam,1,26. Matchday,2,0,1,0,0,Erik ten Hag,Away
2021-03-18,2020,3528475,europa-league,,Ajax Amsterdam,-1,last 16 2nd leg,2,0,1,0,0,Erik ten Hag,Away
2021-03-21,2020,3450723,eredivisie,Ajax Amsterdam,ADO Den Haag,1,27. Matchday,5,0,1,0,0,Erik ten Hag,Home
2021-04-04,2020,3450685,eredivisie,SC Heerenveen,Ajax Amsterdam,1,28. Matchday,2,1,1,0,0,Erik ten Hag,Away
2021-04-08,2020,3538204,europa-league,Ajax Amsterdam,AS Roma,-1,Quarter-Finals 1st leg,1,2,0,0,1,Erik ten Hag,Home
2021-04-11,2020,3450734,eredivisie,RKC Waalwijk,Ajax Amsterdam,1,29. Matchday,1,0,1,0,0,Erik ten Hag,Away
2021-04-15,2020,3538212,europa-league,AS Roma,Ajax Amsterdam,-1,Quarter-Finals 2nd leg,1,1,0,1,0,Erik ten Hag,Away
2021-04-18,2020,3538215,toto-knvb-beker,Ajax Amsterdam,Vitesse Arnhem,-1,Final,2,1,1,0,0,Erik ten Hag,Home
2021-04-22,2020,3450725,eredivisie,Ajax Amsterdam,FC Utrecht,1,21. Matchday,1,1,0,1,0,Erik ten Hag,Home
2021-04-25,2020,3450728,eredivisie,Ajax Amsterdam,AZ Alkmaar,1,30. Matchday,2,0,1,0,0,Erik ten Hag,Home
2021-05-02,2020,3450736,eredivisie,Ajax Amsterdam,FC Emmen,1,31. Matchday,4,0,1,0,0,Erik ten Hag,Home
2021-05-09,2020,3450732,eredivisie,Feyenoord Rotterdam,Ajax Amsterdam,1,32. Matchday,3,0,1,0,0,Erik ten Hag,Away
2021-05-13,2020,3450712,eredivisie,Ajax Amsterdam,VVV-Venlo,1,33. Matchday,3,1,1,0,0,Erik ten Hag,Home
2021-05-16,2020,3450778,eredivisie,Vitesse Arnhem,Ajax Amsterdam,1,34. Matchday,3,1,1,0,0,Erik ten Hag,Away
2021-08-07,2021,3605432,johan-cruijff-schaal,Ajax Amsterdam,PSV Eindhoven,-1,Final,0,4,0,0,1,Erik ten Hag,Home
2021-08-14,2021,3580960,eredivisie,Ajax Amsterdam,NEC Nijmegen,1,1. Matchday,5,0,1,0,0,Erik ten Hag,Home
2021-08-22,2021,3580979,eredivisie,Twente Enschede FC,Ajax Amsterdam,4,2. Matchday,1,1,0,1,0,Erik ten Hag,Away
2021-08-29,2021,3597828,eredivisie,Ajax Amsterdam,Vitesse Arnhem,2,3. Matchday,5,0,1,0,0,Erik ten Hag,Home
2021-09-11,2021,3597805,eredivisie,PEC Zwolle,Ajax Amsterdam,2,4. Matchday,2,0,1,0,0,Erik ten Hag,Away
2021-09-15,2021,3651042,uefa-champions-league,Sporting CP,Ajax Amsterdam,-1,Group C,5,1,1,0,0,Erik ten Hag,Away
2021-09-18,2021,3597816,eredivisie,Ajax Amsterdam,SC Cambuur Leeuwarden,1,5. Matchday,9,0,1,0,0,Erik ten Hag,Home
2021-09-21,2021,3597831,eredivisie,Fortuna Sittard,Ajax Amsterdam,1,6. Matchday,5,0,1,0,0,Erik ten Hag,Away
2021-09-25,2021,3597849,eredivisie,Ajax Amsterdam,FC Groningen,1,7. Matchday,3,0,1,0,0,Erik ten Hag,Home
2021-09-28,2021,3651065,uefa-champions-league,Ajax Amsterdam,Besiktas JK,-1,Group C,2,0,1,0,0,Erik ten Hag,Home
2021-10-03,2021,3597890,eredivisie,Ajax Amsterdam,FC Utrecht,1,8. Matchday,0,1,0,0,1,Erik ten Hag,Home
2021-10-16,2021,3597859,eredivisie,SC Heerenveen,Ajax Amsterdam,1,9. Matchday,2,0,1,0,0,Erik ten Hag,Away
2021-10-19,2021,3651082,uefa-champions-league,Ajax Amsterdam,Borussia Dortmund,-1,Group C,4,0,1,0,0,Erik ten Hag,Home
2021-10-24,2021,3597848,eredivisie,Ajax Amsterdam,PSV Eindhoven,1,10. Matchday,5,0,1,0,0,Erik ten Hag,Home
2021-10-30,2021,3597868,eredivisie,Heracles Almelo,Ajax Amsterdam,1,11. Matchday,0,0,0,1,0,Erik ten Hag,Away
2021-11-03,2021,3651106,uefa-champions-league,Borussia Dortmund,Ajax Amsterdam,-1,Group C,3,1,1,0,0,Erik ten Hag,Away
2021-11-07,2021,3597878,eredivisie,Ajax Amsterdam,Go Ahead Eagles,2,12. Matchday,0,0,0,1,0,Erik ten Hag,Home
2021-11-21,2021,3597898,eredivisie,RKC Waalwijk,Ajax Amsterdam,2,13. Matchday,5,0,1,0,0,Erik ten Hag,Away
2021-11-24,2021,3651121,uefa-champions-league,Besiktas JK,Ajax Amsterdam,-1,Group C,2,1,1,0,0,Erik ten Hag,Away
2021-11-28,2021,3597943,eredivisie,Sparta Rotterdam,Ajax Amsterdam,1,14. Matchday,1,0,1,0,0,Erik ten Hag,Away
2021-12-02,2021,3597916,eredivisie,Ajax Amsterdam,Willem II Tilburg,1,15. Matchday,5,0,1,0,0,Erik ten Hag,Home
2021-12-07,2021,3651130,uefa-champions-league,Ajax Amsterdam,Sporting CP,-1,Group C,4,2,1,0,0,Erik ten Hag,Home
2021-12-12,2021,3597909,eredivisie,Ajax Amsterdam,AZ Alkmaar,2,16. Matchday,1,2,0,0,1,Erik ten Hag,Home
2021-12-15,2021,3690090,toto-knvb-beker,Ajax Amsterdam,,-1,Second Round,4,0,1,0,0,Erik ten Hag,Home
2021-12-19,2021,3597927,eredivisie,Feyenoord Rotterdam,Ajax Amsterdam,2,17. Matchday,2,0,1,0,0,Erik ten Hag,Away
2021-12-22,2021,3597965,eredivisie,Ajax Amsterdam,Fortuna Sittard,2,18. Matchday,5,0,1,0,0,Erik ten Hag,Home
2022-01-16,2021,3597989,eredivisie,FC Utrecht,Ajax Amsterdam,2,19. Matchday,3,0,1,0,0,Erik ten Hag,Away
2022-01-20,2021,3733612,toto-knvb-beker,Ajax Amsterdam,,-1,Third Round,9,0,1,0,0,Erik ten Hag,Home
2022-01-23,2021,3597955,eredivisie,PSV Eindhoven,Ajax Amsterdam,1,20. Matchday,2,1,1,0,0,Erik ten Hag,Away
2022-02-06,2021,3597938,eredivisie,Ajax Amsterdam,Heracles Almelo,1,21. Matchday,3,0,1,0,0,Erik ten Hag,Home
2022-02-09,2021,3736635,toto-knvb-beker,Ajax Amsterdam,Vitesse Arnhem,-1,Quarter-Finals,5,0,1,0,0,Erik ten Hag,Home
2022-02-13,2021,3598016,eredivisie,Ajax Amsterdam,Twente Enschede FC,1,22. Matchday,5,0,1,0,0,Erik ten Hag,Home
2022-02-19,2021,3597983,eredivisie,Willem II Tilburg,Ajax Amsterdam,1,23. Matchday,1,0,1,0,0,Erik ten Hag,Away
2022-02-23,2021,3714216,uefa-champions-league,SL Benfica,Ajax Amsterdam,-1,last 16 1st leg,2,2,0,1,0,Erik ten Hag,Away
2022-02-27,2021,3598025,eredivisie,Go Ahead Eagles,Ajax Amsterdam,1,24. Matchday,1,2,0,0,1,Erik ten Hag,Away
2022-03-03,2021,3761905,toto-knvb-beker,AZ Alkmaar,Ajax Amsterdam,-1,Semi-Finals,2,0,1,0,0,Erik ten Hag,Away
2022-03-06,2021,3598023,eredivisie,Ajax Amsterdam,RKC Waalwijk,1,25. Matchday,3,2,1,0,0,Erik ten Hag,Home
2022-03-11,2021,3598009,eredivisie,SC Cambuur Leeuwarden,Ajax Amsterdam,1,26. Matchday,3,2,1,0,0,Erik ten Hag,Away
2022-03-15,2021,3714224,uefa-champions-league,Ajax Amsterdam,SL Benfica,-1,last 16 2nd leg,0,1,0,0,1,Erik ten Hag,Home
2022-03-20,2021,3597966,eredivisie,Ajax Amsterdam,Feyenoord Rotterdam,1,27. Matchday,3,2,1,0,0,Erik ten Hag,Home
2022-04-02,2021,3598030,eredivisie,FC Groningen,Ajax Amsterdam,1,28. Matchday,3,1,1,0,0,Erik ten Hag,Away
2022-04-09,2021,3598018,eredivisie,Ajax Amsterdam,Sparta Rotterdam,1,29. Matchday,2,1,1,0,0,Erik ten Hag,Home
2022-04-17,2021,3761906,toto-knvb-beker,PSV Eindhoven,Ajax Amsterdam,-1,Final,1,2,0,0,1,Erik ten Hag,Away
2022-04-23,2021,3597998,eredivisie,NEC Nijmegen,Ajax Amsterdam,1,30. Matchday,1,0,1,0,0,Erik ten Hag,Away
2022-04-30,2021,3598014,eredivisie,Ajax Amsterdam,PEC Zwolle,1,31. Matchday,3,0,1,0,0,Erik ten Hag,Home
2022-05-08,2021,3598021,eredivisie,AZ Alkmaar,Ajax Amsterdam,1,32. Matchday,2,2,0,1,0,Erik ten Hag,Away
2022-05-11,2021,3598013,eredivisie,Ajax Amsterdam,SC Heerenveen,1,33. Matchday,5,0,1,0,0,Erik ten Hag,Home
2022-05-15,2021,3598061,eredivisie,Vitesse Arnhem,Ajax Amsterdam,1,34. Matchday,2,2,0,1,0,Erik ten Hag,Away
2022-07-30,2022,3837323,johan-cruijff-schaal,Ajax Amsterdam,PSV Eindhoven,-1,Final,3,5,0,0,1,Alfred Schreuder,Home
2022-08-06,2022,3836750,eredivisie,Fortuna Sittard,Ajax Amsterdam,5,1. Matchday,3,2,1,0,0,Alfred Schreuder,Away
2022-08-14,2022,3837219,eredivisie,Ajax Amsterdam,FC Groningen,1,2. Matchday,6,1,1,0,0,Alfred Schreuder,Home
2022-08-21,2022,3837234,eredivisie,Sparta Rotterdam,Ajax Amsterdam,3,3. Matchday,1,0,1,0,0,Alfred Schreuder,Away
2022-08-28,2022,3837391,eredivisie,FC Utrecht,Ajax Amsterdam,2,4. Matchday,2,0,1,0,0,Alfred Schreuder,Away
2022-09-03,2022,3837396,eredivisie,Ajax Amsterdam,SC Cambuur Leeuwarden,1,5. Matchday,4,0,1,0,0,Alfred Schreuder,Home
2022-09-07,2022,3911722,uefa-champions-league,Ajax Amsterdam,Rangers FC,-1,Group A,4,0,1,0,0,Alfred Schreuder,Home
2022-09-10,2022,3839700,eredivisie,Ajax Amsterdam,SC Heerenveen,1,6. Matchday,5,0,1,0,0,Alfred Schreuder,Home
2022-09-13,2022,3913722,uefa-champions-league,Liverpool FC,Ajax Amsterdam,-1,Group A,1,2,0,0,1,Alfred Schreuder,Away
2022-09-18,2022,3839715,eredivisie,AZ Alkmaar,Ajax Amsterdam,2,7. Matchday,1,2,0,0,1,Alfred Schreuder,Away
2022-10-01,2022,3852567,eredivisie,Ajax Amsterdam,Go Ahead Eagles,2,8. Matchday,1,1,0,1,0,Alfred Schreuder,Home
2022-10-04,2022,3913725,uefa-champions-league,Ajax Amsterdam,SSC Napoli,-1,Group A,1,6,0,0,1,Alfred Schreuder,Home
2022-10-08,2022,3852575,eredivisie,FC Volendam,Ajax Amsterdam,2,9. Matchday,4,2,1,0,0,Alfred Schreuder,Away
2022-10-12,2022,3911726,uefa-champions-league,SSC Napoli,Ajax Amsterdam,-1,Group A,2,4,0,0,1,Alfred Schreuder,Away
2022-10-16,2022,3852585,eredivisie,Ajax Amsterdam,Excelsior Rotterdam,1,10. Matchday,7,1,1,0,0,Alfred Schreuder,Home
2022-10-22,2022,3852593,eredivisie,RKC Waalwijk,Ajax Amsterdam,1,11. Matchday,4,1,1,0,0,Alfred Schreuder,Away
2022-10-26,2022,3911720,uefa-champions-league,Ajax Amsterdam,Liverpool FC,-1,Group A,0,3,0,0,1,Alfred Schreuder,Home
2022-11-01,2022,3911729,uefa-champions-league,Rangers FC,Ajax Amsterdam,-1,Group A,3,1,1,0,0,Alfred Schreuder,Away
2022-11-06,2022,3852610,eredivisie,Ajax Amsterdam,PSV Eindhoven,3,13. Matchday,1,2,0,0,1,Alfred Schreuder,Home
2022-11-09,2022,3852601,eredivisie,Ajax Amsterdam,Vitesse Arnhem,1,12. Matchday,2,2,0,1,0,Alfred Schreuder,Home
2022-11-12,2022,3852619,eredivisie,FC Emmen,Ajax Amsterdam,2,14. Matchday,3,3,0,1,0,Alfred Schreuder,Away
2023-01-08,2022,3852634,eredivisie,NEC Nijmegen,Ajax Amsterdam,2,15. Matchday,1,1,0,1,0,Alfred Schreuder,Away
2023-01-11,2022,3998922,toto-knvb-beker,,Ajax Amsterdam,-1,Second Round,2,0,1,0,0,Alfred Schreuder,Away
2023-01-14,2022,3852640,eredivisie,Ajax Amsterdam,Twente Enschede FC,3,16. Matchday,0,0,0,1,0,Alfred Schreuder,Home
2023-01-22,2022,3852653,eredivisie,Feyenoord Rotterdam,Ajax Amsterdam,5,17. Matchday,1,1,0,1,0,Alfred Schreuder,Away
2023-01-26,2022,3852663,eredivisie,Ajax Amsterdam,FC Volendam,5,18. Matchday,1,1,0,1,0,Alfred Schreuder,Home
2023-01-29,2022,3852670,eredivisie,Excelsior Rotterdam,Ajax Amsterdam,4,19. Matchday,4,1,1,0,0,Johnny Heitinga,Away
2023-02-05,2022,3852696,eredivisie,SC Cambuur Leeuwarden,Ajax Amsterdam,3,20. Matchday,5,0,1,0,0,Johnny Heitinga,Away
2023-02-09,2022,4002938,toto-knvb-beker,Twente Enschede FC,Ajax Amsterdam,-1,Round of 16,1,0,1,0,0,Johnny Heitinga,Away
2023-02-12,2022,3852673,eredivisie,Ajax Amsterdam,RKC Waalwijk,3,21. Matchday,3,1,1,0,0,Johnny Heitinga,Home
2023-02-16,2022,3956712,europa-league,Ajax Amsterdam,1.FC Union Berlin,-1,intermediate stage 1st leg,0,0,0,1,0,Johnny Heitinga,Home
2023-02-19,2022,3852682,eredivisie,Ajax Amsterdam,Sparta Rotterdam,2,22. Matchday,4,0,1,0,0,Johnny Heitinga,Home
2023-02-23,2022,3956720,europa-league,1.FC Union Berlin,Ajax Amsterdam,-1,intermediate stage 2nd leg,1,3,0,0,1,Johnny Heitinga,Away
2023-02-26,2022,3852708,eredivisie,Vitesse Arnhem,Ajax Amsterdam,2,23. Matchday,2,1,1,0,0,Johnny Heitinga,Away
2023-03-02,2022,4025322,toto-knvb-beker,De Graafschap Doetinchem,Ajax Amsterdam,-1,Quarter-Finals,3,0,1,0,0,Johnny Heitinga,Away
2023-03-05,2022,3852709,eredivisie,Ajax Amsterdam,NEC Nijmegen,2,24. Matchday,1,0,1,0,0,Johnny Heitinga,Home
2023-03-12,2022,3852725,eredivisie,SC Heerenveen,Ajax Amsterdam,2,25. Matchday,4,2,1,0,0,Johnny Heitinga,Away
2023-03-19,2022,3852727,eredivisie,Ajax Amsterdam,Feyenoord Rotterdam,2,26. Matchday,2,3,0,0,1,Johnny Heitinga,Home
2023-04-02,2022,3852740,eredivisie,Go Ahead Eagles,Ajax Amsterdam,2,27. Matchday,0,0,0,1,0,Johnny Heitinga,Away
2023-04-05,2022,4035609,toto-knvb-beker,Feyenoord Rotterdam,Ajax Amsterdam,-1,Semi-Finals,2,1,1,0,0,Johnny Heitinga,Away
2023-04-09,2022,3852745,eredivisie,Ajax Amsterdam,Fortuna Sittard,2,28. Matchday,4,0,1,0,0,Johnny Heitinga,Home
2023-04-16,2022,3852754,eredivisie,Ajax Amsterdam,FC Emmen,2,29. Matchday,3,1,1,0,0,Johnny Heitinga,Home
2023-04-23,2022,3852769,eredivisie,PSV Eindhoven,Ajax Amsterdam,3,30. Matchday,0,3,0,0,1,Johnny Heitinga,Away
2023-04-30,2022,4056454,toto-knvb-beker,Ajax Amsterdam,PSV Eindhoven,-1,Final,3,4,0,0,1,Johnny Heitinga,Home
2023-05-06,2022,3852772,eredivisie,Ajax Amsterdam,AZ Alkmaar,3,31. Matchday,0,0,0,1,0,Johnny Heitinga,Home
2023-05-14,2022,3852782,eredivisie,FC Groningen,Ajax Amsterdam,3,32. Matchday,3,2,1,0,0,Johnny Heitinga,Away
2023-05-21,2022,3852790,eredivisie,Ajax Amsterdam,FC Utrecht,3,33. Matchday,3,1,1,0,0,Johnny Heitinga,Home
2023-05-28,2022,3852805,eredivisie,Twente Enschede FC,Ajax Amsterdam,3,34. Matchday,1,3,0,0,1,Johnny Heitinga,Away
